Patient Aadhar,Patient Name,Patient Age,Gender,Location,XOffset,YOffset,Choice,Endowment,Characteristic 1,Characteristic 2,Characteristic 3,Characteristic 4,Characteristic 5,Characteristic 6
454723773638,Bikash Soni,40,M,Nihasan,7.2178,7.6235,3,65287,3,2,1,2,1,2
358689829872,Jaya Sinha,42,F,Phulpur,-1.2343,-5.515,4,93481,4,3,2,1,2,1
374050425116,Janvi Vashishth,54,F,Farrukhabad,7.013,2.3033,4,87330,2,3,2,3,4,3
909011456590,Monoj Thakur,56,M,Hapur,0.6722,-4.1878,2,29697,3,4,3,2,3,2
906201784805,Ankit Koshta,58,M,Nagina,-6.2695,3.3776,1,9815,4,3,4,3,4,3
408390407648,Neema Arora,13,F,Kanpur Nagar,9.7468,7.2288,4,98605,3,2,1,2,3,2
493540127318,Pranshu Khandoi,35,M,Bhadohi,-7.7709,-8.1453,2,49230,4,3,4,3,2,1
978052709633,Sushma Saha,71,F,Tanda,4.7898,2.0366,1,12923,4,3,4,3,2,3
928533605593,Mahua Nigam,44,F,Varanasi,-2.2794,6.1329,2,42379,4,3,4,3,4,3
537344463844,Adesh Khandoi,14,M,Agra,-5.0648,-4.5137,3,57039,1,2,3,4,3,2
669220629040,Neha Garg,67,F,Mathura,-6.1308,0.7225,4,92543,1,2,3,2,3,4
641713885242,Rhythm Shukla,20,M,Barabanki,-3.278,0.3594,2,46723,2,1,2,3,2,1
815376076551,Arpit Chauhan,32,M,Jhansi,-8.0996,6.4702,1,9748,3,2,3,4,3,4
937671304424,Arpit Shah,38,M,Bindki,-3.6201,0.3681,2,37678,3,2,1,2,3,4
481973431469,Taarak Kolte,40,M,Varanasi,7.683,-4.6836,3,67291,3,4,3,4,3,2
753307019518,Neema Dengere,62,F,Faizabad,-9.8422,7.6467,1,24224,2,1,2,3,4,3
291464940222,Dhriti Nigam,14,F,Deoria,2.9738,-4.5555,1,21990,4,3,2,3,4,3
180046687380,Nikita Mehtele,52,F,Barhaj,-4.2492,3.0629,1,19222,3,2,1,2,1,2
286223919256,Aman Rathod,59,M,Ballia,-3.4725,3.7673,4,84019,3,2,3,4,3,2
838399423925,Rhitwik Patri,50,M,Sikandara,-2.2805,0.2286,1,7223,3,2,3,2,1,2
660327283987,Ameya Tomar,12,M,Ghaziabad,-2.7981,2.0792,1,15333,1,2,1,2,1,2
780483333211,Parth Barai,65,M,Bulandshahr,-7.4855,0.1945,2,45441,1,2,1,2,3,4
713030933186,Aryan Barai,42,M,Padrauna,6.815,-0.2192,1,20675,2,3,4,3,2,1
185552612712,Monoj Sharma,30,M,Hardoi,-4.7954,-8.4,2,29595,2,3,4,3,2,1
450001724770,Prajjwal Thakur,13,M,Sarila,5.7501,0.8504,4,79957,3,2,1,2,3,2
426790161681,Abhishek Sinha,58,M,Sikandara,-0.8055,2.7237,4,77972,1,2,1,2,1,2
464514505773,Abhik Khan,74,M,Jigni,1.8749,7.3603,3,65509,2,3,4,3,4,3
339351047438,Aditya Khan,16,M,Saidpur,-3.4349,1.7015,3,73202,2,3,2,1,2,3
546941773726,Rhythm Bajpeyi,44,M,Tanda,-7.1364,-6.9503,2,40417,2,3,4,3,4,3
